,Setor,Código,Ação,Tipo,Qtde. Teórica,Part. (%),Part. (%)Acum.,SubSetor,,,,
0,Consumo Não-Cíclico,ABEV3,AMBEV S/A,ON,4386652506,3.457,3.457,Bebidas,,,,
1,Consumo Cíclico,ALPA4,ALPARGATAS,PN      N1,202765994,0.161,0.161,Tecid Vest Calç,,,,
3,Consumo Cíclico,ARZZ3,AREZZO CO,ON      NM,60358029,0.257,2.673,Comércio,,,,
4,Consumo Não-Cíclico,ASAI3,ASSAI,ON      NM,795949801,0.762,1.317,Comércio Distr.,,,,
5,Bens Indls,AZUL4,AZUL,PN      N2,327646296,0.203,2.171,Transporte,,,,
6,Financeiro,B3SA3,B3,ON      NM,5901731302,3.531,3.789,Serviços Financeiros Diversos,,,,
7,Financeiro,BBAS3,BRASIL,ON  EDJ NM,1420731069,2.452,17.763,Interms Financs,,,,
8,Financeiro,BBDC3,BRADESCO,ON      N1,1508883586,0.981,17.763,Interms Financs,,,,
9,Financeiro,BBDC4,BRADESCO,PN      N1,5156077326,3.915,17.763,Interms Financs,,,,
10,Financeiro,BBSE3,BBSEGURIDADE,ON      NM,671682536,1.017,1.41,Previd  Seguros,,,,
11,Consumo Não-Cíclico,BEEF3,MINERVA,ON      NM,260409710,0.162,2.319,Alimentos Processados,,,,
12,Financeiro,BPAC11,BTGP BANCO,UNT     N2,1225470424,1.487,17.763,Interms Financs,,,,
13,Financeiro,BPAN4,BANCO PAN,PN      N1,341549703,0.115,17.763,Interms Financs,,,,
14,Mats Básicos,BRAP4,BRADESPAR,PN      N1,251025058,0.333,18.842,Mineração,,,,
15,Consumo Não-Cíclico,BRFS3,BRF SA,ON      NM,1076512610,0.539,2.319,Alimentos Processados,,,,
16,Mats Básicos,BRKM5,BRASKEM,PNA     N1,265212486,0.377,0.377,Químicos,,,,
17,Financeiro,BRML3,BR MALLS PAR,ON      NM,828273884,0.352,0.85,Explor Imóveis,,,,
18,Tec.Informação,CASH3,MELIUZ,ON      NM,657963256,0.037,0.936,Programas Servs,,,,
19,Bens Indls,CCRO3,CCR SA,ON      NM,1115681435,0.642,2.171,Transporte,,,,
20,Financeiro,CIEL3,CIELO,ON      NM,1095401258,0.258,3.789,Serviços Financeiros Diversos,,,,
21,Utilidade Públ,CMIG4,CEMIG,PN      N1,1442098974,0.796,9.797,Energ Elétrica,,,,
22,Mats Básicos,CMIN3,CSNMINERACAO,ON      N2,1110550596,0.196,18.842,Mineração,,,,
23,Diverso,COGN3,COGNA ON,ON      NM,1820405422,0.198,2.958,Diversos,,,,
24,Utilidade Públ,CPFE3,CPFL ENERGIA,ON      NM,187732538,0.315,9.797,Energ Elétrica,,,,
25,Utilidade Públ,CPLE6,COPEL,PNB EJ  N2,1563365506,0.63,9.797,Energ Elétrica,,,,
